text,textblob_sentiment,nltk_sentiment,"google_sentiment(sentiment,magnitude)"
RT @GKeile: Fauci refusing to let Americans know that there is a medicine on the market that will help sick Americans with this coronavirus…,"Sentiment(polarity=-0.7142857142857143, subjectivity=0.8571428571428571)",Negative,"-0.6000000238418579,0.6000000238418579"
"@realDonaldTrump Yeah you stupid fucks. It’s a hoax. Don’t worry. It will be over by Easter. He sent China med equipment before he thought it out. , he disabled the clean water act so now corporations can pollute the waterways of America. He just dissolved the car makers mileage","Sentiment(polarity=-0.2111111111111111, subjectivity=0.6666666666666666)",Negative,"-0.5,3.0"
Pastor Arrested For Violating Rules Amid Virus Outbreak https://t.co/NXINIhMvUn https://t.co/lg51U0jgMW,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.6000000238418579,0.6000000238418579"
RT @oof_juice: Y'all cant stay home for 30 days but stayed in a toxic relationship for years 🥴,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.6000000238418579,0.6000000238418579"
"RT @mikandynothem: Democrats and liberal media call @realDonaldTrump a racist every single day. He is so racist, he won the 'Ellis Island'…","Sentiment(polarity=-0.07142857142857142, subjectivity=0.21428571428571427)",Positive,"0.0,0.4000000059604645"
"RT @OHAOregon: Now that Spring has arrived, many of us are experiencing allergies. Dr. Ann Thomas from the #Oregon Health Authority shares…","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"-0.20000000298023224,0.699999988079071"
"RT @jwgop: The Republican enablers in the Senate were so distracted by impeachment they couldn't focus on the pandemic, yet they had time t…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579"
WUHAN! I got you all in check.,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.4000000059604645,0.8999999761581421"
"RT @Rochelle: May 20, 2017.","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
"RT @HuttoISD: By executive order of the Governor of Texas, Hutto ISD has suspended normal operations and closed facilities through May 3.…","Sentiment(polarity=0.024999999999999994, subjectivity=0.37499999999999994)",Positive,"-0.4000000059604645,0.4000000059604645"
"RT @AndyOstroy: Hey @realDonaldTrump: stop saying ""Mike, Deborah, Tony, Gavin,"" etc. They're not your friends. And I'm sure they don't even…","Sentiment(polarity=0.5, subjectivity=0.8888888888888888)",Positive,"-0.4000000059604645,1.399999976158142"
"RT @seanhannity: SAY WHAT? Biden Labels Trump’s Virus Restrictions ‘Hysterical Xenophobia,’ Calls CVS ‘CVC’ and Wuhan ‘Luhan’ https://t.co/…","Sentiment(polarity=-1.0, subjectivity=1.0)",Positive,"0.0,0.20000000298023224"
RT @SkolMemes: Me trying to stop the spread of Coronavirus from deep in the woods of Northern MN https://t.co/8Mjg1Enwri,"Sentiment(polarity=0.0, subjectivity=0.4)",Positive,"-0.10000000149011612,0.10000000149011612"
It means we have almost 9 million ppl in MO and KS has maybe 2 million. Lol. And MO is testing WAY more than KS is. https://t.co/gs132AM8GL,"Sentiment(polarity=0.65, subjectivity=0.6)",Negative,"0.10000000149011612,0.8999999761581421"
"RT @HeyTammyBruce: Throughout this coronavirus fight, and all the unknowns, I do know one thing: Dr. Fauci and Dr. Birx deserve the Preside…","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.10000000149011612"
"I'm running for #tnsen vs. folks promising to be a blank check for the Trump-McConnell agenda that hurts TN: 
✅weak #COVID19 response;
✅hospital closures;
✅ignoring opioids;
✅all-in for trade war.
TN can do better — chip in to elect a #servantleader ⬇️ https://t.co/wWZlhjunAG","Sentiment(polarity=0.375, subjectivity=0.475)",Positive,"-0.5,1.0"
"Finally...a great recommendation...everyone...everywhere...every time you go out!! 
Riverside County recommends covering face in public to prevent coronavirus – Press Enterprise https://t.co/gacEpWhhmb","Sentiment(polarity=0.5, subjectivity=0.4083333333333333)",Positive,"0.4000000059604645,0.8999999761581421"
"@jeffhauser @DeanBaker13 Secondly, the US was hamstrung by incompetent CDC that make faulty test and then refused others  making test.  So we had no tests.
In Korea private companies allowed to charge ahead with their own tests which gave them a huge lead in testing:
https://t.co/xbFua2GLkC","Sentiment(polarity=0.13000000000000003, subjectivity=0.5283333333333333)",Positive,"-0.4000000059604645,1.600000023841858"
"RT @UCSFHospitals: THANK YOU to everyone who donated critical items for front-line providers at our hospitals! We received 100,000+ masks,…","Sentiment(polarity=0.0, subjectivity=0.8)",Positive,"0.4000000059604645,0.800000011920929"
RT @richardmarx: Pastor says only “sissies” &amp; “pansies” wash their hands to prevent coronavirus https://t.co/cL1r5b1DNg,"Sentiment(polarity=0.0, subjectivity=1.0)",Positive,"-0.5,0.5"
Fire Amazon!!!! https://t.co/39mTjVvXJd,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.5,1.0"
"RT @Susan78English: ""White House predicts 100,000 to 240,000 will die in US from coronavirus"" https://t.co/8S5Mu6Bpk5","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.30000001192092896,0.30000001192092896"
@DrTedros @WHO @FAODG @WTODGAZEVEDO Why have you not resigned yet?,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.20000000298023224"
"RT @NPR: With coronavirus cases skyrocketing, the CDC may start encouraging Americans to wear face masks to cut down on asymptomatic spread…","Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",Positive,"0.0,0.0"
RT @MrAndyNgo: I did not know this happened in 2018. He later pleaded guilty. https://t.co/INGWZKQfjQ,"Sentiment(polarity=-0.25, subjectivity=0.5)",Negative,"-0.10000000149011612,1.2999999523162842"
RT @SafetyPinDaily: Coronavirus: NHS doctors 'gagged' over protective equipment shortages || Via Independent https://t.co/euuBEdYnF1,"Sentiment(polarity=0.0, subjectivity=0.125)",Positive,"-0.30000001192092896,0.30000001192092896"
RT @dbongino: There’s nothing unusual about CNN refusing to air portions of the presidential press briefings on the Wuhan Virus. CNN isn’t…,"Sentiment(polarity=0.2, subjectivity=1.0)",Positive,"-0.5,1.100000023841858"
"RT @ChrisMurphyCT: Just left the Administration briefing on Coronavirus. Bottom line: they aren't taking this seriously enough. 

Notably,…","Sentiment(polarity=0.0, subjectivity=0.25)",Negative,"-0.20000000298023224,1.100000023841858"
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment “diverted the attention of the govern…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
"RT @DeanBaker13: Oh, so the headline should read ""Trump lies with new tone."" Do your damn  job. You know full well he lied throughout this…","Sentiment(polarity=0.24318181818181817, subjectivity=0.5022727272727273)",Positive,"-0.699999988079071,2.200000047683716"
美国竟然也沦落到要跟班上最差那个学生找优越感，这种事以前只发生在中国找印度相比较。 https://t.co/lON2Wdnpb1,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.800000011920929,0.800000011920929"
RT @RepMattGaetz: Our doctors and healthcare professionals are on the front lines of the coronavirus pandemic. Our prayers are with you as…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.4000000059604645,0.8999999761581421"
"@realDonaldTrump I defer all leadership for #COVIDー19 in my state to my governor, Gov Polis. 
#trumpFailedAmerica","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.30000001192092896"
"RT @RealCandaceO: Our President is absolutely nailing these #coronavirus press conferences. 

At long last, Americans are able to see him w…","Sentiment(polarity=0.1625, subjectivity=0.4979166666666667)",Positive,"0.0,1.0"
"RT @Lrihendry: Folks, remember that CNN decided not to allow the President of the United States to inform the American people on the corona…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579"
"RT @DeFede: Fmr Surgeon General @vivek_murthy says @GovRonDeSantis is wrong not ordering stay at home order ""If you care about saving lives…","Sentiment(polarity=-0.22499999999999998, subjectivity=0.7)",Negative,"-0.699999988079071,0.699999988079071"
"RT @neeratanden: Over 3100 people have died in the US from the coronavirus. More than died on 9/11. Only 158 in South Korea, though we both…","Sentiment(polarity=0.25, subjectivity=0.75)",Negative,"-0.4000000059604645,1.2000000476837158"
"RT @akkitwts: Respect 👏👏👏👏

A 12-year old girl was having difficulty with her math homework during the lockdown.

So she emailed her teache…","Sentiment(polarity=0.1, subjectivity=0.2)",Negative,"-0.30000001192092896,1.0"
"RT @ChuckRossDC: Rick Scott wants to investigate whether US should continue funding WHO. 

We provide ~15% of WHO's budget. China gives ~0.…","Sentiment(polarity=0.2, subjectivity=0.1)",Positive,"-0.20000000298023224,0.699999988079071"
RT @Yamiche: President Trump says from the beginning he knew thousands could die from coronavirus but wanted to be positive so that's why h…,"Sentiment(polarity=0.22727272727272727, subjectivity=0.5454545454545454)",Positive,"-0.10000000149011612,0.10000000149011612"
They are just plain 🦇 💩 crazy and inconsiderate https://t.co/G6Kp1dvTDU,"Sentiment(polarity=-0.40714285714285714, subjectivity=0.6285714285714286)",Negative,"-0.800000011920929,0.800000011920929"
@GovRicketts https://t.co/jZanyFojnt,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.30000001192092896,0.30000001192092896"
@GovMurphy Mandatory stay at home orders. This is ridiculous. No amount of revenue is worth one single human life.,"Sentiment(polarity=-0.026190476190476188, subjectivity=0.3535714285714286)",Negative,"-0.6000000238418579,1.899999976158142"
"RT @David_Leavitt: “179 people died in New York yesterday, or whatever it was,"" says @realDonaldTrump 

#COVID #COVID19 #coronavirus #Coron…","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",Positive,"0.0,0.6000000238418579"
@DrTedros you are a G Damn LIAR. Leave the organization Now! Shameful Idiot,"Sentiment(polarity=-0.8, subjectivity=0.8)",Negative,"0.0,0.8999999761581421"
"RT @RaisingOneBrow: Trump didn't participate in the impeachment so no, it didn't impact his COVID response #Mitchplease","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.5,0.5"
"RT @BarbraStreisand: The lack of preparedness for this pandemic was appalling! Even the provision of masks, gloves and gowns for our health…","Sentiment(polarity=-0.4375, subjectivity=0.9)",Positive,"-0.20000000298023224,1.100000023841858"
RT @xaipe3: List N: Disinfectants for Use Against SARS-CoV-2 | Pesticide Registration | US EPA https://t.co/i8m6HgBSP3,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.10000000149011612,0.10000000149011612"
"""Crooks, criminals chill with the crime, wait till the coronavirus is over"" 😂😂😂 https://t.co/BZALaMacmS","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579"
"RT @SenSchumer: Senator Mitch McConnell:

You may have been distracted by impeachment from acting to fight coronavirus, but not everyone wa…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.30000001192092896"
When both your jobs close for COVID-19 but you don’t get a stimulus check because you’re still a dependent of your parents: https://t.co/EV3gBAw9BH,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.4000000059604645,0.4000000059604645"
RT @cuceejr: China has lied and covered up key information during virtually every stage of its coronavirus response - from the initial outb…,"Sentiment(polarity=0.0, subjectivity=0.5)",Positive,"-0.800000011920929,0.800000011920929"
@realDonaldTrump 's Final Solution! https://t.co/4xkdMGAHUb,"Sentiment(polarity=0.0, subjectivity=1.0)",Negative,"0.5,1.100000023841858"
"Of course Amazon is going to say that! Sounds like the guy was trying to do the job w/o any protection (mask, gloves perhaps?), and when he complained, they fired him for exactly what he was complaining abt...having to work w/o protection? https://t.co/9MWHCMcLyY","Sentiment(polarity=-0.024999999999999994, subjectivity=0.225)",Positive,"0.0,1.2000000476837158"
#COVID #BrasilTemQuePararBolsonaro #Bolsonaro #coronavirus #BlackLivesMatter #BrasilUrgente @conectas @negrobelchior @TLHumanRights @TheLatiNegrxs https://t.co/4Nbwyme2l4,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.20000000298023224,0.20000000298023224"
"RT @JesseBWatters: Nancy Pelosi, a couple of weeks ago, was in downtown San Francisco telling everyone to go to Chinatown - Chuck Todd mode…","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.10000000149011612"
"Ok, Stop Playing We All Have To Do our part.... 
Seriously #StayAtHome up to 200,000 people will die....","Sentiment(polarity=0.08333333333333334, subjectivity=0.5833333333333333)",Negative,"-0.4000000059604645,0.8999999761581421"
"RT @LindaLiberty9: During his STOU address President @realDonaldTrump warned the American people about the corona virus.

Bitter @SpeakerPe…","Sentiment(polarity=-0.05, subjectivity=0.25)",Positive,"0.0,0.4000000059604645"
"RT @jsolomonReports: Breaking: White House predicts 100,000 to 200,000 coronavirus deaths. ‘Very painful two weeks ahead,’ Trump warns. htt…","Sentiment(polarity=-0.45499999999999996, subjectivity=0.5)",Negative,"-0.20000000298023224,1.2000000476837158"
RT @BarackObama: We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more conseque…,"Sentiment(polarity=-0.25, subjectivity=0.75)",Negative,"-0.699999988079071,1.5"
TONIGHT: @SavannahGuthrie &amp; @hodakotb host our @NBCNews Special Report: Coronavirus Pandemic on @NBC @MSNBC and @NBCNewsNow https://t.co/XBjdCn9RKz,"Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",Positive,"0.0,0.0"
RT @gwensnyderPHL: No wonder Verizon isn't worried at all about jerking me around for 8 hours refusing to reconnect my internet service des…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
RT @Avkyz: COVID-19 doesnt effect rats &amp; snakes so most of you should be good,"Sentiment(polarity=0.6, subjectivity=0.55)",Positive,"-0.20000000298023224,0.20000000298023224"
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment “diverted the attention of the govern…,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071"
RT @tedlieu: Appears @senatemajldr McConnnell can no longer defend the initial catastrophic failure of @realDonaldTrump in addressing the #…,"Sentiment(polarity=-0.15833333333333335, subjectivity=0.15)",Positive,"-0.5,0.5"
RT @oof_juice: Y'all cant stay home for 30 days but stayed in a toxic relationship for years 🥴,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.6000000238418579,0.6000000238418579"
RT @SethAbramson: I don't know why we consider this markedly different from just killing people outright,"Sentiment(polarity=0.0, subjectivity=0.6)",Negative,"-0.699999988079071,0.699999988079071"
"Dr. Fauci looks on as @realdonaldtrump enters the briefing room, ahead of a daily press conference on coronavirus response. https://t.co/BqaD4QycYX","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.20000000298023224,0.4000000059604645"
Real Virus Death Toll in Wuhan Could Be 12 Times Official Figure https://t.co/K3HaWu2smu via @epochtimes,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",Positive,"-0.4000000059604645,0.4000000059604645"
RT @DaisyDucati: Trying to be a stay at home pornstar when none of my neighbor’s kids have school is a real uphill battle. https://t.co/BC3…,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",Negative,"-0.10000000149011612,0.6000000238418579"
---&gt; https://t.co/5tEgPXSUbO,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0"
