text,textblob_sentiment,nltk_sentiment,google_sentiment,Researcher_label
"RT @W7VOA: #COVID19 is going to be ""circulating in other parts as we're going down,"" thus US needs to be vigilant about a seasonal second wâ€¦","Sentiment(polarity=-0.09351851851851851, subjectivity=0.22129629629629632)",Positive,"-0.699999988079071,0.699999988079071",Negative
"RT @realDonaldTrump: Great work @AtlasAirWW, thank you!","Sentiment(polarity=1.0, subjectivity=0.75)",Positive,"0.6000000238418579,0.6000000238418579",Positve
"RT @duty2warn: ""We've seen all too terribly the consequences of those who denied warnings of a pandemic. We â€¦ have to demand better of ourâ€¦","Sentiment(polarity=-0.25, subjectivity=0.75)",Positive,"-0.4000000059604645,1.399999976158142",Negative
RT @GRMcVicar: Grand Rapids residents team up to help retailers amid coronavirus pandemic https://t.co/q0PJTLzn1q,"Sentiment(polarity=0.5, subjectivity=1.0)",Positive,"0.20000000298023224,0.20000000298023224",Positve
"RT @SenKamalaHarris: We must suspend wage garnishment, car repossessions, credit card interest and penalties, and any negative credit reporâ€¦","Sentiment(polarity=-0.3, subjectivity=0.4)",Negative,"-0.5,0.5",Negative
"RT @kylegriffin1: One former W.H. official said Trump's reelection campaign advisors are terrified that the coronavirus outbreak, which soâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579",Negative
"RT @MCoDems: This is a GREAT idea. We're all in this together. Take care of each other.

#Demcast #TakeItSeriously #FlattenTheCurve #COVID19","Sentiment(polarity=0.3375, subjectivity=0.5625)",Positive,"0.4000000059604645,1.899999976158142",Neutral
"RT @jsolomonReports: Breaking: White House predicts 100,000 to 200,000 coronavirus deaths. â€˜Very painful two weeks ahead,â€™ Trump warns. httâ€¦","Sentiment(polarity=-0.45499999999999996, subjectivity=0.5)",Negative,"-0.20000000298023224,1.2000000476837158",Negative
"The April 1 FEA President's Report has suggestions for online teaching and info to help talk with kids about COVID-19
https://t.co/LFzyG6uXM7","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.10000000149011612,0.10000000149011612",Neutral
RT @GKeile: Fauci refusing to let Americans know that there is a medicine on the market that will help sick Americans with this coronavirusâ€¦,"Sentiment(polarity=-0.7142857142857143, subjectivity=0.8571428571428571)",Negative,"-0.6000000238418579,0.6000000238418579",Negative
"@realDonaldTrump Yeah you stupid fucks. Itâ€™s a hoax. Donâ€™t worry. It will be over by Easter. He sent China med equipment before he thought it out. , he disabled the clean water act so now corporations can pollute the waterways of America. He just dissolved the car makers mileage","Sentiment(polarity=-0.2111111111111111, subjectivity=0.6666666666666666)",Negative,"-0.5,3.0",Negative
Pastor Arrested For Violating Rules Amid Virus Outbreak https://t.co/NXINIhMvUn https://t.co/lg51U0jgMW,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.6000000238418579,0.6000000238418579",Neutral
RT @oof_juice: Y'all cant stay home for 30 days but stayed in a toxic relationship for years ðŸ¥´,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.6000000238418579,0.6000000238418579",Negative
"RT @mikandynothem: Democrats and liberal media call @realDonaldTrump a racist every single day. He is so racist, he won the 'Ellis Island'â€¦","Sentiment(polarity=-0.07142857142857142, subjectivity=0.21428571428571427)",Positive,"0.0,0.4000000059604645",Negative
"RT @OHAOregon: Now that Spring has arrived, many of us are experiencing allergies. Dr. Ann Thomas from the #Oregon Health Authority sharesâ€¦","Sentiment(polarity=0.5, subjectivity=0.5)",Positive,"-0.20000000298023224,0.699999988079071",Neutral
"RT @jwgop: The Republican enablers in the Senate were so distracted by impeachment they couldn't focus on the pandemic, yet they had time tâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579",Negative
WUHAN! I got you all in check.,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.4000000059604645,0.8999999761581421",Negative
"RT @Rochelle: May 20, 2017.","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Neutral
"RT @HuttoISD: By executive order of the Governor of Texas, Hutto ISD has suspended normal operations and closed facilities through May 3.â€¦","Sentiment(polarity=0.024999999999999994, subjectivity=0.37499999999999994)",Positive,"-0.4000000059604645,0.4000000059604645",Neutral
"RT @AndyOstroy: Hey @realDonaldTrump: stop saying ""Mike, Deborah, Tony, Gavin,"" etc. They're not your friends. And I'm sure they don't evenâ€¦","Sentiment(polarity=0.5, subjectivity=0.8888888888888888)",Positive,"-0.4000000059604645,1.399999976158142",Negative
"RT @seanhannity: SAY WHAT? Biden Labels Trumpâ€™s Virus Restrictions â€˜Hysterical Xenophobia,â€™ Calls CVS â€˜CVCâ€™ and Wuhan â€˜Luhanâ€™ https://t.co/â€¦","Sentiment(polarity=-1.0, subjectivity=1.0)",Positive,"0.0,0.20000000298023224",Negative
RT @SkolMemes: Me trying to stop the spread of Coronavirus from deep in the woods of Northern MN https://t.co/8Mjg1Enwri,"Sentiment(polarity=0.0, subjectivity=0.4)",Positive,"-0.10000000149011612,0.10000000149011612",Positve
It means we have almost 9 million ppl in MO and KS has maybe 2 million. Lol. And MO is testing WAY more than KS is. https://t.co/gs132AM8GL,"Sentiment(polarity=0.65, subjectivity=0.6)",Negative,"0.10000000149011612,0.8999999761581421",Negative
"RT @HeyTammyBruce: Throughout this coronavirus fight, and all the unknowns, I do know one thing: Dr. Fauci and Dr. Birx deserve the Presideâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.10000000149011612",Positve
"I'm running for #tnsen vs. folks promising to be a blank check for the Trump-McConnell agenda that hurts TN: 
âœ…weak #COVID19 response;
âœ…hospital closures;
âœ…ignoring opioids;
âœ…all-in for trade war.
TN can do better â€” chip in to elect a #servantleader â¬‡ï¸ https://t.co/wWZlhjunAG","Sentiment(polarity=0.375, subjectivity=0.475)",Positive,"-0.5,1.0",Negative
"Finally...a great recommendation...everyone...everywhere...every time you go out!! 
Riverside County recommends covering face in public to prevent coronavirus â€“ Press Enterprise https://t.co/gacEpWhhmb","Sentiment(polarity=0.5, subjectivity=0.4083333333333333)",Positive,"0.4000000059604645,0.8999999761581421",Neutral
"@jeffhauser @DeanBaker13 Secondly, the US was hamstrung by incompetent CDC that make faulty test and then refused others  making test.  So we had no tests.
In Korea private companies allowed to charge ahead with their own tests which gave them a huge lead in testing:
https://t.co/xbFua2GLkC","Sentiment(polarity=0.13000000000000003, subjectivity=0.5283333333333333)",Positive,"-0.4000000059604645,1.600000023841858",Negative
"RT @UCSFHospitals: THANK YOU to everyone who donated critical items for front-line providers at our hospitals! We received 100,000+ masks,â€¦","Sentiment(polarity=0.0, subjectivity=0.8)",Positive,"0.4000000059604645,0.800000011920929",Positve
RT @richardmarx: Pastor says only â€œsissiesâ€ &amp; â€œpansiesâ€ wash their hands to prevent coronavirus https://t.co/cL1r5b1DNg,"Sentiment(polarity=0.0, subjectivity=1.0)",Positive,"-0.5,0.5",Negative
Fire Amazon!!!! https://t.co/39mTjVvXJd,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.5,1.0",Negative
"RT @Susan78English: ""White House predicts 100,000 to 240,000 will die in US from coronavirus"" https://t.co/8S5Mu6Bpk5","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.30000001192092896,0.30000001192092896",Negative
@DrTedros @WHO @FAODG @WTODGAZEVEDO Why have you not resigned yet?,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.20000000298023224,0.20000000298023224",Negative
"RT @NPR: With coronavirus cases skyrocketing, the CDC may start encouraging Americans to wear face masks to cut down on asymptomatic spreadâ€¦","Sentiment(polarity=-0.15555555555555559, subjectivity=0.2888888888888889)",Positive,"0.0,0.0",Neutral
RT @MrAndyNgo: I did not know this happened in 2018. He later pleaded guilty. https://t.co/INGWZKQfjQ,"Sentiment(polarity=-0.25, subjectivity=0.5)",Negative,"-0.10000000149011612,1.2999999523162842",Negative
RT @SafetyPinDaily: Coronavirus: NHS doctors 'gagged' over protective equipment shortages || Via Independent https://t.co/euuBEdYnF1,"Sentiment(polarity=0.0, subjectivity=0.125)",Positive,"-0.30000001192092896,0.30000001192092896",Negative
RT @dbongino: Thereâ€™s nothing unusual about CNN refusing to air portions of the presidential press briefings on the Wuhan Virus. CNN isnâ€™tâ€¦,"Sentiment(polarity=0.2, subjectivity=1.0)",Positive,"-0.5,1.100000023841858",Negative
"RT @ChrisMurphyCT: Just left the Administration briefing on Coronavirus. Bottom line: they aren't taking this seriously enough. 

Notably,â€¦","Sentiment(polarity=0.0, subjectivity=0.25)",Negative,"-0.20000000298023224,1.100000023841858",Negative
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment â€œdiverted the attention of the governâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
"RT @DeanBaker13: Oh, so the headline should read ""Trump lies with new tone."" Do your damn  job. You know full well he lied throughout thisâ€¦","Sentiment(polarity=0.24318181818181817, subjectivity=0.5022727272727273)",Positive,"-0.699999988079071,2.200000047683716",Negative
ç¾Žå›½ç«Ÿç„¶ä¹Ÿæ²¦è½åˆ°è¦è·Ÿç­ä¸Šæœ€å·®é‚£ä¸ªå­¦ç”Ÿæ‰¾ä¼˜è¶Šæ„Ÿï¼Œè¿™ç§äº‹ä»¥å‰åªå‘ç”Ÿåœ¨ä¸­å›½æ‰¾å°åº¦ç›¸æ¯”è¾ƒã€‚ https://t.co/lON2Wdnpb1,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.800000011920929,0.800000011920929",Neutral
RT @RepMattGaetz: Our doctors and healthcare professionals are on the front lines of the coronavirus pandemic. Our prayers are with you asâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.4000000059604645,0.8999999761581421",Positve
"@realDonaldTrump I defer all leadership for #COVIDãƒ¼19 in my state to my governor, Gov Polis. 
#trumpFailedAmerica","Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"0.10000000149011612,0.30000001192092896",Negative
"RT @RealCandaceO: Our President is absolutely nailing these #coronavirus press conferences. 

At long last, Americans are able to see him wâ€¦","Sentiment(polarity=0.1625, subjectivity=0.4979166666666667)",Positive,"0.0,1.0",Positve
"RT @Lrihendry: Folks, remember that CNN decided not to allow the President of the United States to inform the American people on the coronaâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579",Negative
"RT @DeFede: Fmr Surgeon General @vivek_murthy says @GovRonDeSantis is wrong not ordering stay at home order ""If you care about saving livesâ€¦","Sentiment(polarity=-0.22499999999999998, subjectivity=0.7)",Negative,"-0.699999988079071,0.699999988079071",Negative
"RT @neeratanden: Over 3100 people have died in the US from the coronavirus. More than died on 9/11. Only 158 in South Korea, though we bothâ€¦","Sentiment(polarity=0.25, subjectivity=0.75)",Negative,"-0.4000000059604645,1.2000000476837158",Negative
"RT @akkitwts: Respect ðŸ‘ðŸ‘ðŸ‘ðŸ‘

A 12-year old girl was having difficulty with her math homework during the lockdown.

So she emailed her teacheâ€¦","Sentiment(polarity=0.1, subjectivity=0.2)",Negative,"-0.30000001192092896,1.0",Positve
"RT @ChuckRossDC: Rick Scott wants to investigate whether US should continue funding WHO. 

We provide ~15% of WHO's budget. China gives ~0.â€¦","Sentiment(polarity=0.2, subjectivity=0.1)",Positive,"-0.20000000298023224,0.699999988079071",Negative
RT @Yamiche: President Trump says from the beginning he knew thousands could die from coronavirus but wanted to be positive so that's why hâ€¦,"Sentiment(polarity=0.22727272727272727, subjectivity=0.5454545454545454)",Positive,"-0.10000000149011612,0.10000000149011612",Negative
They are just plain ðŸ¦‡ ðŸ’© crazy and inconsiderate https://t.co/G6Kp1dvTDU,"Sentiment(polarity=-0.40714285714285714, subjectivity=0.6285714285714286)",Negative,"-0.800000011920929,0.800000011920929",Negative
@GovRicketts https://t.co/jZanyFojnt,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.30000001192092896,0.30000001192092896",Positve
@GovMurphy Mandatory stay at home orders. This is ridiculous. No amount of revenue is worth one single human life.,"Sentiment(polarity=-0.026190476190476188, subjectivity=0.3535714285714286)",Negative,"-0.6000000238418579,1.899999976158142",Negative
"RT @David_Leavitt: â€œ179 people died in New York yesterday, or whatever it was,"" says @realDonaldTrump 

#COVID #COVID19 #coronavirus #Coronâ€¦","Sentiment(polarity=0.13636363636363635, subjectivity=0.45454545454545453)",Positive,"0.0,0.6000000238418579",Negative
@DrTedros you are a G Damn LIAR. Leave the organization Now! Shameful Idiot,"Sentiment(polarity=-0.8, subjectivity=0.8)",Negative,"0.0,0.8999999761581421",Negative
"RT @RaisingOneBrow: Trump didn't participate in the impeachment so no, it didn't impact his COVID response #Mitchplease","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.5,0.5",Negative
"RT @BarbraStreisand: The lack of preparedness for this pandemic was appalling! Even the provision of masks, gloves and gowns for our healthâ€¦","Sentiment(polarity=-0.4375, subjectivity=0.9)",Positive,"-0.20000000298023224,1.100000023841858",Negative
RT @xaipe3: List N: Disinfectants for Use Against SARS-CoV-2 | Pesticide Registration | US EPA https://t.co/i8m6HgBSP3,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.10000000149011612,0.10000000149011612",Neutral
"""Crooks, criminals chill with the crime, wait till the coronavirus is over"" ðŸ˜‚ðŸ˜‚ðŸ˜‚ https://t.co/BZALaMacmS","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.6000000238418579,0.6000000238418579",Negative
"RT @SenSchumer: Senator Mitch McConnell:

You may have been distracted by impeachment from acting to fight coronavirus, but not everyone waâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.30000001192092896",Negative
When both your jobs close for COVID-19 but you donâ€™t get a stimulus check because youâ€™re still a dependent of your parents: https://t.co/EV3gBAw9BH,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.4000000059604645,0.4000000059604645",Negative
RT @cuceejr: China has lied and covered up key information during virtually every stage of its coronavirus response - from the initial outbâ€¦,"Sentiment(polarity=0.0, subjectivity=0.5)",Positive,"-0.800000011920929,0.800000011920929",Negative
@realDonaldTrump 's Final Solution! https://t.co/4xkdMGAHUb,"Sentiment(polarity=0.0, subjectivity=1.0)",Negative,"0.5,1.100000023841858",Positve
"Of course Amazon is going to say that! Sounds like the guy was trying to do the job w/o any protection (mask, gloves perhaps?), and when he complained, they fired him for exactly what he was complaining abt...having to work w/o protection? https://t.co/9MWHCMcLyY","Sentiment(polarity=-0.024999999999999994, subjectivity=0.225)",Positive,"0.0,1.2000000476837158",Negative
#COVID #BrasilTemQuePararBolsonaro #Bolsonaro #coronavirus #BlackLivesMatter #BrasilUrgente @conectas @negrobelchior @TLHumanRights @TheLatiNegrxs https://t.co/4Nbwyme2l4,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.20000000298023224,0.20000000298023224",Negative
"RT @JesseBWatters: Nancy Pelosi, a couple of weeks ago, was in downtown San Francisco telling everyone to go to Chinatown - Chuck Todd modeâ€¦","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.10000000149011612,0.10000000149011612",Neutral
"Ok, Stop Playing We All Have To Do our part.... 
Seriously #StayAtHome up to 200,000 people will die....","Sentiment(polarity=0.08333333333333334, subjectivity=0.5833333333333333)",Negative,"-0.4000000059604645,0.8999999761581421",Negative
"RT @LindaLiberty9: During his STOU address President @realDonaldTrump warned the American people about the corona virus.

Bitter @SpeakerPeâ€¦","Sentiment(polarity=-0.05, subjectivity=0.25)",Positive,"0.0,0.4000000059604645",Negative
"RT @jsolomonReports: Breaking: White House predicts 100,000 to 200,000 coronavirus deaths. â€˜Very painful two weeks ahead,â€™ Trump warns. httâ€¦","Sentiment(polarity=-0.45499999999999996, subjectivity=0.5)",Negative,"-0.20000000298023224,1.2000000476837158",Negative
RT @BarackObama: We've seen all too terribly the consequences of those who denied warnings of a pandemic. We can't afford any more consequeâ€¦,"Sentiment(polarity=-0.25, subjectivity=0.75)",Negative,"-0.699999988079071,1.5",Negative
TONIGHT: @SavannahGuthrie &amp; @hodakotb host our @NBCNews Special Report: Coronavirus Pandemic on @NBC @MSNBC and @NBCNewsNow https://t.co/XBjdCn9RKz,"Sentiment(polarity=0.35714285714285715, subjectivity=0.5714285714285714)",Positive,"0.0,0.0",Neutral
RT @gwensnyderPHL: No wonder Verizon isn't worried at all about jerking me around for 8 hours refusing to reconnect my internet service desâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
RT @Avkyz: COVID-19 doesnt effect rats &amp; snakes so most of you should be good,"Sentiment(polarity=0.6, subjectivity=0.55)",Positive,"-0.20000000298023224,0.20000000298023224",Neutral
RT @gtconway3d: I wrote about how Sen. McConnell was gaslighting us today when he claimed impeachment â€œdiverted the attention of the governâ€¦,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"-0.699999988079071,0.699999988079071",Negative
RT @tedlieu: Appears @senatemajldr McConnnell can no longer defend the initial catastrophic failure of @realDonaldTrump in addressing the #â€¦,"Sentiment(polarity=-0.15833333333333335, subjectivity=0.15)",Positive,"-0.5,0.5",Negative
RT @oof_juice: Y'all cant stay home for 30 days but stayed in a toxic relationship for years ðŸ¥´,"Sentiment(polarity=0.0, subjectivity=0.0)",Negative,"-0.6000000238418579,0.6000000238418579",Negative
RT @SethAbramson: I don't know why we consider this markedly different from just killing people outright,"Sentiment(polarity=0.0, subjectivity=0.6)",Negative,"-0.699999988079071,0.699999988079071",Negative
"Dr. Fauci looks on as @realdonaldtrump enters the briefing room, ahead of a daily press conference on coronavirus response. https://t.co/BqaD4QycYX","Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.20000000298023224,0.4000000059604645",Neutral
Real Virus Death Toll in Wuhan Could Be 12 Times Official Figure https://t.co/K3HaWu2smu via @epochtimes,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",Positive,"-0.4000000059604645,0.4000000059604645",Negative
RT @DaisyDucati: Trying to be a stay at home pornstar when none of my neighborâ€™s kids have school is a real uphill battle. https://t.co/BC3â€¦,"Sentiment(polarity=0.2, subjectivity=0.30000000000000004)",Negative,"-0.10000000149011612,0.6000000238418579",Negative
---&gt; https://t.co/5tEgPXSUbO,"Sentiment(polarity=0.0, subjectivity=0.0)",Positive,"0.0,0.0",Negative
